,filename,src_id,src_ch,src_signal,room_code,room_rfl_floor,room_rfl_ceiling,room_rfl_west,room_rfl_south,room_rfl_east,room_rfl_north,room_fornitures,room_temperature,rec_silence_dB,rec_artifacts,mic_type,array_bar_x,array_bar_y,array_bar_z,mic_id,mic_ch,mic_pos_x,mic_pos_y,mic_pos_z,mic_signal,src_pos_x,src_pos_y,src_pos_z
29,2020-01-22__22-48-02,,,,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,30.0,62.0,2.92435157,3.523628,1.46,,,,
30,2020-01-22__22-48-02,,,,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,loopback,,,,,,,,,,,,
31,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,1.0,33.0,0.85771319,3.90990039,1.039,babble,,,
32,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,2.0,34.0,0.89503133,3.92430026,1.039,babble,,,
33,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,3.0,35.0,0.94167901,3.9423001,1.039,babble,,,
34,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,4.0,36.0,1.00232099,3.9656999,1.039,babble,,,
35,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,5.0,37.0,1.09561634,4.00169958,1.039,babble,,,
36,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,6.0,38.0,0.81689747,2.24411235,0.98,babble,,,
37,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,7.0,39.0,0.80321666,2.20652464,0.98,babble,,,
38,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,8.0,40.0,0.78611565,2.15954001,0.98,babble,,,
39,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,9.0,41.0,0.76388435,2.09845999,0.98,babble,,,
40,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,10.0,42.0,0.72968233,2.00449073,0.98,babble,,,
41,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,11.0,43.0,2.18273871,1.7263214,1.163,babble,,,
42,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,12.0,44.0,2.21808934,1.70760421,1.163,babble,,,
43,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,13.0,45.0,2.26227762,1.68420772,1.163,babble,,,
44,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,14.0,46.0,2.31972238,1.65379228,1.163,babble,,,
45,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,2.291,1.669,1.163,15.0,47.0,2.40809895,1.6069993,1.163,babble,,,
46,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,16.0,48.0,3.34254184,2.35745543,1.31,babble,,,
47,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,17.0,49.0,3.36391593,2.3912659,1.31,babble,,,
48,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,18.0,50.0,3.39063355,2.43352899,1.31,babble,,,
49,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,19.0,51.0,3.42536645,2.48847101,1.31,babble,,,
50,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.408,2.461,1.31,20.0,52.0,3.47880169,2.57299719,1.31,babble,,,
51,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,21.0,53.0,3.77147839,3.96471105,0.91,babble,,,
52,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,22.0,54.0,3.74389361,3.93574418,0.91,babble,,,
53,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,23.0,55.0,3.70941264,3.89953559,0.91,babble,,,
54,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,24.0,56.0,3.66458736,3.85246441,0.91,babble,,,
55,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.687,3.876,0.91,25.0,57.0,3.59562541,3.78004723,0.91,babble,,,
56,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,26.0,58.0,3.12959949,3.37230619,1.46,babble,,,
57,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,27.0,59.0,3.09740374,3.39604294,1.46,babble,,,
58,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,28.0,60.0,3.05715905,3.42571389,1.46,babble,,,
59,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,29.0,61.0,3.00484095,3.46428611,1.46,babble,,,
60,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,3.031,3.445,1.46,30.0,62.0,2.92435157,3.523628,1.46,babble,,,
61,2020-01-22__22-48-55,1.0,45.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,loopback,,,,,,,,,,,,
62,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,1.0,33.0,0.85771319,3.90990039,1.039,babble,,,
63,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,2.0,34.0,0.89503133,3.92430026,1.039,babble,,,
64,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,3.0,35.0,0.94167901,3.9423001,1.039,babble,,,
65,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,4.0,36.0,1.00232099,3.9656999,1.039,babble,,,
66,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.972,3.954,1.039,5.0,37.0,1.09561634,4.00169958,1.039,babble,,,
67,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,6.0,38.0,0.81689747,2.24411235,0.98,babble,,,
68,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,7.0,39.0,0.80321666,2.20652464,0.98,babble,,,
69,2020-01-22__22-48-55,2.0,46.0,babble,010000,0.0,1.0,0.0,0.0,0.0,0.0,False,24.0,23.0,0.0,capsule,0.775,2.129,0.98,8.0,40.0,0.78611565,2.15954001,0.98,babble,,,
